Päivämäärä;Maa;Viikonpäivä;Kuukausi;Vuosi;Käyttäjäasennuksia;;;;
13.5.2024;Brasilia;Maanantai;Toukokuu;2024;21;;;;
15.5.2024;Ukraina;Keskiviikko;Toukokuu;2024;23;;;;
16.5.2024;Brasilia;Torstai;Toukokuu;2024;12;;;;
20.5.2024;Brasilia;Maanantai;Toukokuu;2024;11;;;;
23.5.2024;Ukraina;Torstai;Toukokuu;2024;16;;;;
30.5.2024;Argentiina;Torstai;Toukokuu;2024;15;;;;
8.7.2024;Chile;Maanantai;Heinäkuu;2024;22;;;;
12.7.2024;Chile;Perjantai;Heinäkuu;2024;17;;;;
24.7.2024;Kolumbia;Keskiviikko;Heinäkuu;2024;11;;;;
31.7.2024;Kolumbia;Keskiviikko;Heinäkuu;2024;27;;;;
7.8.2024;Brasilia;Keskiviikko;Elokuu;2024;13;;;;
8.8.2024;Brasilia;Torstai;Elokuu;2024;23;;;;
9.8.2024;Brasilia;Perjantai;Elokuu;2024;24;;;;
10.8.2024;El Salvador;Lauantai;Elokuu;2024;24;;;;
15.8.2024;Brasilia;Torstai;Elokuu;2024;12;;;;
15.8.2024;Meksiko;Torstai;Elokuu;2024;41;;;;
16.8.2024;Meksiko;Perjantai;Elokuu;2024;19;;;;
21.8.2024;Brasilia;Keskiviikko;Elokuu;2024;11;;;;
27.8.2024;Brasilia;Tiistai;Elokuu;2024;51;;;;
2.9.2024;Bolivia;Maanantai;Syyskuu;2024;12;;;;
4.9.2024;Chile;Keskiviikko;Syyskuu;2024;11;;;;
10.9.2024;Bolivia;Tiistai;Syyskuu;2024;11;;;;
17.9.2024;Indonesia;Tiistai;Syyskuu;2024;17;;;;
24.9.2024;Meksiko;Tiistai;Syyskuu;2024;12;;;;
11.10.2024;Chile;Perjantai;Lokakuu;2024;16;;;;
23.10.2024;Indonesia;Keskiviikko;Lokakuu;2024;12;;;;
13.11.2024;Kolumbia;Keskiviikko;Marraskuu;2024;22;;;;
13.11.2024;Indonesia;Keskiviikko;Marraskuu;2024;16;;;;
14.11.2024;Brasilia;Torstai;Marraskuu;2024;15;;;;
17.11.2024;Indonesia;Sunnuntai;Marraskuu;2024;28;;;;
18.11.2024;Indonesia;Maanantai;Marraskuu;2024;33;;;;
