Maa;Kuukausi;Kuukauden käyttäjäasennukset;Kuukauden käyttäjäasennusten päiväkohtainen keskiarvo;Maan käyttäjäasennukset yhteensä;Maan kaikkien käyttäjäasennusten päiväkohtainen keskiarvo;Kuukauden käyttäjäasennusten päiväkohtaisen keskiarvon ja maan kaikkien käyttäjäasennusten päiväkohtaisen keskiarvon suhde;Lomapäivien osuus;Lomapäivien prosenttiosuus yli 50 %;;;;;;
Korean tasavalta;Marraskuu;6;0,050;522;0,417;0,120;0,000;Ei;;;;;;
Korean tasavalta;Joulukuu;18;0,194;522;0,417;0,464;0,532;Kyllä;;;;;;
Angola;Tammikuu;31;0,333;502;0,401;0,831;0,984;Kyllä;;;;;;
Angola;Helmikuu;25;0,294;502;0,401;0,733;0,064;Ei;;;;;;
Angola;Maaliskuu;28;0,301;502;0,401;0,750;0,055;Ei;;;;;;
Angola;Huhtikuu;28;0,311;502;0,401;0,775;0,060;Ei;;;;;;
Angola;Toukokuu;23;0,247;502;0,401;0,616;0,039;Ei;;;;;;
Angola;Kesäkuu;20;0,217;502;0,401;0,542;0,000;Ei;;;;;;
Angola;Heinäkuu;23;0,185;502;0,401;0,462;0,000;Ei;;;;;;
Angola;Elokuu;50;0,403;502;0,401;1,005;0,003;Ei;;;;;;
Angola;Syyskuu;76;0,633;502;0,401;1,578;0,037;Ei;;;;;;
Angola;Lokakuu;85;0,685;502;0,401;1,708;0,000;Ei;;;;;;
Angola;Marraskuu;90;0,750;502;0,401;1,869;0,077;Ei;;;;;;
Angola;Joulukuu;23;0,247;502;0,401;0,616;0,474;Ei;;;;;;
Ukraina;Tammikuu;26;0,280;478;0,382;0,732;0,110;Ei;;;;;;
Ukraina;Helmikuu;60;0,706;478;0,382;1,847;0,018;Ei;;;;;;
Ukraina;Maaliskuu;60;0,645;478;0,382;1,688;0,042;Ei;;;;;;
Ukraina;Huhtikuu;39;0,433;478;0,382;1,134;0,057;Ei;;;;;;
Ukraina;Toukokuu;88;0,946;478;0,382;2,476;0,290;Ei;;;;;;
Ukraina;Kesäkuu;15;0,163;478;0,382;0,427;1,000;Kyllä;;;;;;
Ukraina;Heinäkuu;14;0,113;478;0,382;0,295;1,000;Kyllä;;;;;;
Ukraina;Elokuu;23;0,185;478;0,382;0,485;0,997;Kyllä;;;;;;
Ukraina;Syyskuu;53;0,442;478;0,382;1,156;0,027;Ei;;;;;;
Ukraina;Lokakuu;39;0,315;478;0,382;0,823;0,019;Ei;;;;;;
Ukraina;Marraskuu;42;0,350;478;0,382;0,916;0,277;Ei;;;;;;
Ukraina;Joulukuu;19;0,204;478;0,382;0,535;0,016;Ei;;;;;;
Indonesia;Tammikuu;33;0,355;477;0,381;0,931;0,052;Ei;;;;;;
Indonesia;Helmikuu;93;1,094;477;0,381;2,869;0,035;Ei;;;;;;
Indonesia;Maaliskuu;39;0,419;477;0,381;1,100;0,042;Ei;;;;;;
Indonesia;Huhtikuu;16;0,178;477;0,381;0,466;0,040;Ei;;;;;;
Indonesia;Toukokuu;18;0,194;477;0,381;0,508;0,087;Ei;;;;;;
Indonesia;Kesäkuu;22;0,239;477;0,381;0,627;0,693;Kyllä;;;;;;
Indonesia;Heinäkuu;5;0,040;477;0,381;0,106;0,471;Ei;;;;;;
Indonesia;Elokuu;17;0,137;477;0,381;0,360;0,058;Ei;;;;;;
Indonesia;Syyskuu;58;0,483;477;0,381;1,268;0,037;Ei;;;;;;
Indonesia;Lokakuu;57;0,460;477;0,381;1,206;0,019;Ei;;;;;;
Indonesia;Marraskuu;109;0,908;477;0,381;2,382;0,023;Ei;;;;;;
Indonesia;Joulukuu;10;0,108;477;0,381;0,282;0,065;Ei;;;;;;
Filippiinit;Tammikuu;7;0,075;468;0,374;0,201;0,052;Ei;;;;;;
Filippiinit;Helmikuu;6;0,071;468;0,374;0,189;0,035;Ei;;;;;;
Filippiinit;Maaliskuu;20;0,215;468;0,374;0,575;0,023;Ei;;;;;;
Filippiinit;Huhtikuu;51;0,567;468;0,374;1,515;0,993;Kyllä;;;;;;
Filippiinit;Toukokuu;114;1,226;468;0,374;3,277;1,000;Kyllä;;;;;;
Filippiinit;Kesäkuu;122;1,326;468;0,374;3,545;0,103;Ei;;;;;;
Filippiinit;Heinäkuu;14;0,113;468;0,374;0,302;0,010;Ei;;;;;;
Filippiinit;Elokuu;11;0,089;468;0,374;0,237;0,077;Ei;;;;;;
Filippiinit;Syyskuu;27;0,225;468;0,374;0,601;0,013;Ei;;;;;;
Filippiinit;Lokakuu;73;0,589;468;0,374;1,574;0,019;Ei;;;;;;
Filippiinit;Marraskuu;18;0,150;468;0,374;0,401;0,090;Ei;;;;;;
Filippiinit;Joulukuu;5;0,054;468;0,374;0,144;0,129;Ei;;;;;;
Saksa;Tammikuu;25;0,269;449;0,359;0,749;0,032;Ei;;;;;;
Saksa;Helmikuu;44;0,518;449;0,359;1,442;0,000;Ei;;;;;;
Saksa;Maaliskuu;40;0,430;449;0,359;1,198;0,013;Ei;;;;;;
Saksa;Huhtikuu;30;0,333;449;0,359;0,929;0,053;Ei;;;;;;
Saksa;Toukokuu;34;0,366;449;0,359;1,019;0,081;Ei;;;;;;
Saksa;Kesäkuu;26;0,283;449;0,359;0,787;0,373;Ei;;;;;;
Saksa;Heinäkuu;14;0,113;449;0,359;0,315;1,000;Kyllä;;;;;;
Saksa;Elokuu;22;0,177;449;0,359;0,494;1,000;Kyllä;;;;;;
Saksa;Syyskuu;52;0,433;449;0,359;1,207;0,320;Ei;;;;;;
Saksa;Lokakuu;47;0,379;449;0,359;1,056;0,529;Kyllä;;;;;;
Saksa;Marraskuu;70;0,583;449;0,359;1,625;0,000;Ei;;;;;;
Saksa;Joulukuu;45;0,484;449;0,359;1,348;0,097;Ei;;;;;;
Bolivia;Tammikuu;4;0,043;432;0,345;0,125;0,984;Kyllä;;;;;;
Bolivia;Helmikuu;22;0,259;432;0,345;0,750;0,049;Ei;;;;;;
Bolivia;Maaliskuu;47;0,505;432;0,345;1,463;0,029;Ei;;;;;;
Bolivia;Huhtikuu;37;0,411;432;0,345;1,191;0,023;Ei;;;;;;
Bolivia;Toukokuu;39;0,419;432;0,345;1,214;0,048;Ei;;;;;;
Bolivia;Kesäkuu;20;0,217;432;0,345;0,630;0,110;Ei;;;;;;
Bolivia;Heinäkuu;15;0,121;432;0,345;0,350;0,442;Ei;;;;;;
Bolivia;Elokuu;57;0,460;432;0,345;1,331;0,032;Ei;;;;;;
Bolivia;Syyskuu;83;0,692;432;0,345;2,003;0,000;Ei;;;;;;
Bolivia;Lokakuu;46;0,371;432;0,345;1,074;0,000;Ei;;;;;;
Bolivia;Marraskuu;56;0,467;432;0,345;1,351;0,060;Ei;;;;;;
Bolivia;Joulukuu;6;0,065;432;0,345;0,187;0,997;Kyllä;;;;;;
Argentiina;Tammikuu;2;0,022;383;0,306;0,070;1,000;Kyllä;;;;;;
Argentiina;Helmikuu;12;0,141;383;0,306;0,461;0,988;Kyllä;;;;;;
Argentiina;Maaliskuu;19;0,204;383;0,306;0,667;0,097;Ei;;;;;;
Argentiina;Huhtikuu;49;0,544;383;0,306;1,778;0,083;Ei;;;;;;
Argentiina;Toukokuu;56;0,602;383;0,306;1,967;0,068;Ei;;;;;;
Argentiina;Kesäkuu;47;0,511;383;0,306;1,669;0,050;Ei;;;;;;
Argentiina;Heinäkuu;17;0,137;383;0,306;0,448;0,494;Ei;;;;;;
Argentiina;Elokuu;56;0,452;383;0,306;1,475;0,035;Ei;;;;;;
Argentiina;Syyskuu;45;0,375;383;0,306;1,225;0,000;Ei;;;;;;
Argentiina;Lokakuu;36;0,290;383;0,306;0,948;0,035;Ei;;;;;;
Argentiina;Marraskuu;25;0,208;383;0,306;0,680;0,057;Ei;;;;;;
Argentiina;Joulukuu;19;0,204;383;0,306;0,667;0,997;Kyllä;;;;;;
Thaimaa;Tammikuu;19;0,204;377;0,301;0,678;0,048;Ei;;;;;;
Thaimaa;Helmikuu;30;0,353;377;0,301;1,171;0,025;Ei;;;;;;
Thaimaa;Maaliskuu;20;0,215;377;0,301;0,714;0,961;Kyllä;;;;;;
Thaimaa;Huhtikuu;10;0,111;377;0,301;0,369;0,987;Kyllä;;;;;;
Thaimaa;Toukokuu;10;0,108;377;0,301;0,357;0,142;Ei;;;;;;
Thaimaa;Kesäkuu;10;0,109;377;0,301;0,361;0,010;Ei;;;;;;
Thaimaa;Heinäkuu;16;0,129;377;0,301;0,428;0,090;Ei;;;;;;
Thaimaa;Elokuu;28;0,226;377;0,301;0,749;0,048;Ei;;;;;;
Thaimaa;Syyskuu;24;0,200;377;0,301;0,664;0,000;Ei;;;;;;
Thaimaa;Lokakuu;57;0,460;377;0,301;1,525;0,061;Ei;;;;;;
Thaimaa;Marraskuu;128;1,067;377;0,301;3,540;0,000;Ei;;;;;;
Thaimaa;Joulukuu;25;0,269;377;0,301;0,892;0,113;Ei;;;;;;
Irak;Tammikuu;19;0,204;367;0,293;0,696;0,074;Ei;;;;;;
Irak;Helmikuu;19;0,224;367;0,293;0,762;0,011;Ei;;;;;;
Irak;Maaliskuu;28;0,301;367;0,293;1,026;0,000;Ei;;;;;;
Irak;Huhtikuu;51;0,567;367;0,293;1,932;0,000;Ei;;;;;;
Irak;Toukokuu;37;0,398;367;0,293;1,356;0,032;Ei;;;;;;
Irak;Kesäkuu;25;0,272;367;0,293;0,926;0,377;Ei;;;;;;
Irak;Heinäkuu;11;0,089;367;0,293;0,302;1,000;Kyllä;;;;;;
Irak;Elokuu;20;0,161;367;0,293;0,550;0,997;Kyllä;;;;;;
Irak;Syyskuu;21;0,175;367;0,293;0,597;0,090;Ei;;;;;;
Irak;Lokakuu;31;0,250;367;0,293;0,852;0,077;Ei;;;;;;
Irak;Marraskuu;28;0,233;367;0,293;0,795;0,053;Ei;;;;;;
Irak;Joulukuu;77;0,828;367;0,293;2,822;0,042;Ei;;;;;;
Yhdysvallat;Tammikuu;25;0,269;347;0,277;0,969;0,071;Ei;;;;;;
Yhdysvallat;Helmikuu;28;0,329;347;0,277;1,188;0,035;Ei;;;;;;
Yhdysvallat;Maaliskuu;29;0,312;347;0,277;1,124;0,000;Ei;;;;;;
Yhdysvallat;Huhtikuu;25;0,278;347;0,277;1,001;0,000;Ei;;;;;;
Yhdysvallat;Toukokuu;24;0,258;347;0,277;0,930;0,032;Ei;;;;;;
Yhdysvallat;Kesäkuu;22;0,239;347;0,277;0,862;0,123;Ei;;;;;;
Yhdysvallat;Heinäkuu;19;0,153;347;0,277;0,552;1,000;Kyllä;;;;;;
Yhdysvallat;Elokuu;26;0,210;347;0,277;0,756;1,000;Kyllä;;;;;;
Yhdysvallat;Syyskuu;32;0,267;347;0,277;0,961;0,170;Ei;;;;;;
Yhdysvallat;Lokakuu;45;0,363;347;0,277;1,308;0,032;Ei;;;;;;
Yhdysvallat;Marraskuu;52;0,433;347;0,277;1,562;0,073;Ei;;;;;;
Yhdysvallat;Joulukuu;20;0,215;347;0,277;0,775;0,048;Ei;;;;;;
Japani;Tammikuu;16;0,172;330;0,264;0,652;0,129;Ei;;;;;;
Japani;Helmikuu;27;0,318;330;0,264;1,204;0,039;Ei;;;;;;
Japani;Maaliskuu;16;0,172;330;0,264;0,652;0,039;Ei;;;;;;
Japani;Huhtikuu;17;0,189;330;0,264;0,716;0,043;Ei;;;;;;
Japani;Toukokuu;36;0,387;330;0,264;1,467;0,116;Ei;;;;;;
Japani;Kesäkuu;51;0,554;330;0,264;2,101;0,000;Ei;;;;;;
Japani;Heinäkuu;17;0,137;330;0,264;0,520;0,400;Ei;;;;;;
Japani;Elokuu;25;0,202;330;0,264;0,764;0,997;Kyllä;;;;;;
Japani;Syyskuu;34;0,283;330;0,264;1,074;0,100;Ei;;;;;;
Japani;Lokakuu;30;0,242;330;0,264;0,917;0,035;Ei;;;;;;
Japani;Marraskuu;40;0,333;330;0,264;1,264;0,077;Ei;;;;;;
Japani;Joulukuu;21;0,226;330;0,264;0,856;0,068;Ei;;;;;;
Italia;Tammikuu;23;0,247;329;0,263;0,940;0,065;Ei;;;;;;
Italia;Helmikuu;34;0,400;329;0,263;1,521;0,000;Ei;;;;;;
Italia;Maaliskuu;45;0,484;329;0,263;1,840;0,006;Ei;;;;;;
Italia;Huhtikuu;28;0,311;329;0,263;1,183;0,060;Ei;;;;;;
Italia;Toukokuu;35;0,376;329;0,263;1,431;0,032;Ei;;;;;;
Italia;Kesäkuu;12;0,130;329;0,263;0,496;0,787;Kyllä;;;;;;
Italia;Heinäkuu;10;0,081;329;0,263;0,307;1,000;Kyllä;;;;;;
Italia;Elokuu;12;0,097;329;0,263;0,368;1,000;Kyllä;;;;;;
Italia;Syyskuu;19;0,158;329;0,263;0,602;0,490;Ei;;;;;;
Italia;Lokakuu;40;0,323;329;0,263;1,227;0,000;Ei;;;;;;
Italia;Marraskuu;48;0,400;329;0,263;1,521;0,033;Ei;;;;;;
Italia;Joulukuu;23;0,247;329;0,263;0,940;0,097;Ei;;;;;;
Mongolia;Tammikuu;11;0,118;316;0,253;0,468;0,055;Ei;;;;;;
Mongolia;Helmikuu;32;0,376;316;0,253;1,490;0,081;Ei;;;;;;
Mongolia;Maaliskuu;44;0,473;316;0,253;1,873;0,032;Ei;;;;;;
Mongolia;Huhtikuu;49;0,544;316;0,253;2,155;0,000;Ei;;;;;;
Mongolia;Toukokuu;39;0,419;316;0,253;1,660;0,000;Ei;;;;;;
Mongolia;Kesäkuu;20;0,217;316;0,253;0,861;0,787;Kyllä;;;;;;
