Maa;Kuukausi;Kuukauden käyttäjäasennukset;Kuukauden käyttäjäasennusten päiväkohtainen keskiarvo;Maan käyttäjäasennukset yhteensä;Maan kaikkien käyttäjäasennusten päiväkohtainen keskiarvo;Kuukauden käyttäjäasennusten päiväkohtaisen keskiarvon ja maan kaikkien käyttäjäasennusten päiväkohtaisen keskiarvon suhde;Lomapäivien osuus;Lomapäivien prosenttiosuus yli 50 %;;;;;;
Ecuador;Tammikuu;12;0,129;202;0,161;0,799;0,148;Ei;;;;;;
Ecuador;Helmikuu;9;0,106;202;0,161;0,656;0,049;Ei;;;;;;
Ecuador;Maaliskuu;20;0,215;202;0,161;1,332;0,029;Ei;;;;;;
Ecuador;Huhtikuu;15;0,167;202;0,161;1,032;0,030;Ei;;;;;;
Ecuador;Toukokuu;11;0,118;202;0,161;0,733;0,077;Ei;;;;;;
Ecuador;Kesäkuu;29;0,315;202;0,161;1,952;0,287;Ei;;;;;;
Ecuador;Heinäkuu;10;0,081;202;0,161;0,499;1,000;Kyllä;;;;;;
Ecuador;Elokuu;33;0,266;202;0,161;1,648;0,571;Kyllä;;;;;;
Ecuador;Syyskuu;14;0,117;202;0,161;0,723;0,000;Ei;;;;;;
Ecuador;Lokakuu;14;0,113;202;0,161;0,699;0,035;Ei;;;;;;
Ecuador;Marraskuu;18;0,150;202;0,161;0,929;0,073;Ei;;;;;;
Ecuador;Joulukuu;17;0,183;202;0,161;1,132;0,342;Ei;;;;;;
Guinea;Tammikuu;12;0,129;198;0,158;0,815;0,042;Ei;;;;;;
Guinea;Helmikuu;10;0,118;198;0,158;0,743;0,011;Ei;;;;;;
Guinea;Maaliskuu;19;0,204;198;0,158;1,291;0,003;Ei;;;;;;
Guinea;Huhtikuu;17;0,189;198;0,158;1,193;0,063;Ei;;;;;;
Guinea;Toukokuu;10;0,108;198;0,158;0,679;0,068;Ei;;;;;;
Guinea;Kesäkuu;7;0,076;198;0,158;0,481;0,017;Ei;;;;;;
Guinea;Heinäkuu;11;0,089;198;0,158;0,560;0,829;Kyllä;;;;;;
Guinea;Elokuu;18;0,145;198;0,158;0,917;1,000;Kyllä;;;;;;
Guinea;Syyskuu;7;0,058;198;0,158;0,369;0,100;Ei;;;;;;
Guinea;Lokakuu;42;0,339;198;0,158;2,140;0,042;Ei;;;;;;
Guinea;Marraskuu;34;0,283;198;0,158;1,790;0,013;Ei;;;;;;
Guinea;Joulukuu;11;0,118;198;0,158;0,747;0,042;Ei;;;;;;
Turkki;Tammikuu;17;0,183;191;0,153;1,197;0,032;Ei;;;;;;
Turkki;Helmikuu;13;0,153;191;0,153;1,002;0,000;Ei;;;;;;
Turkki;Maaliskuu;10;0,108;191;0,153;0,704;0,000;Ei;;;;;;
Turkki;Huhtikuu;21;0,233;191;0,153;1,528;0,033;Ei;;;;;;
Turkki;Toukokuu;19;0,204;191;0,153;1,338;0,065;Ei;;;;;;
Turkki;Kesäkuu;18;0,196;191;0,153;1,281;0,543;Kyllä;;;;;;
Turkki;Heinäkuu;14;0,113;191;0,153;0,739;1,000;Kyllä;;;;;;
Turkki;Elokuu;21;0,169;191;0,153;1,109;1,000;Kyllä;;;;;;
Turkki;Syyskuu;15;0,125;191;0,153;0,819;0,507;Kyllä;;;;;;
Turkki;Lokakuu;16;0,129;191;0,153;0,845;0,110;Ei;;;;;;
Turkki;Marraskuu;18;0,150;191;0,153;0,982;0,033;Ei;;;;;;
Turkki;Joulukuu;9;0,097;191;0,153;0,634;0,000;Ei;;;;;;
Marokko;Tammikuu;37;0,398;182;0,145;2,735;0,077;Ei;;;;;;
Marokko;Helmikuu;17;0,200;182;0,145;1,375;0,011;Ei;;;;;;
Marokko;Maaliskuu;14;0,151;182;0,145;1,035;0,000;Ei;;;;;;
Marokko;Huhtikuu;11;0,122;182;0,145;0,840;0,000;Ei;;;;;;
Marokko;Toukokuu;13;0,140;182;0,145;0,961;0,032;Ei;;;;;;
Marokko;Kesäkuu;7;0,076;182;0,145;0,523;0,023;Ei;;;;;;
Marokko;Heinäkuu;5;0,040;182;0,145;0,277;0,826;Kyllä;;;;;;
Marokko;Elokuu;8;0,065;182;0,145;0,443;1,000;Kyllä;;;;;;
Marokko;Syyskuu;12;0,100;182;0,145;0,687;0,113;Ei;;;;;;
Marokko;Lokakuu;10;0,081;182;0,145;0,554;0,426;Ei;;;;;;
Marokko;Marraskuu;17;0,142;182;0,145;0,974;0,370;Ei;;;;;;
Marokko;Joulukuu;31;0,333;182;0,145;2,291;0,013;Ei;;;;;;
